"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MCP3008-I/P","Microchip Technology","MCP3008-I/P-ND","","","Tube","Active","13","2.19000","$28.47","661","1 Weeks","IC ADC 10BIT SAR 16DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TLC5947DAPR","Texas Instruments","296-41686-1-ND","","","Cut Tape (CT)","Active","5","3.60000","$18.00","7528","8 Weeks","IC LED DRIVER LINEAR 32HTSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP23S17T-E/SO","Microchip Technology","MCP23S17T-E/SOCT-ND","","","Cut Tape (CT)","Active","8","1.26000","$10.08","1652","12 Weeks","IC I/O EXPANDER SPI 16B 28SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"9B-16.000MAAE-B","TXC CORPORATION","887-2014-ND","Q1","","Bulk","Active","1","0.33000","$0.33","1263","13 Weeks","CRYSTAL 16.0000MHZ 12PF T/H","RoHS Compliant","Lead free","Not Available"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","C1 - C6","","Cut Tape (CT)","Active","6","0.14000","$0.84","726158","22 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805JRNPO9BN160","Yageo","311-4228-1-ND","C7, C8","","Cut Tape (CT)","Active","2","0.15000","$0.30","362","33 Weeks","CAP CER 16PF 50V NPO 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"61200621621","Würth Elektronik","732-5394-ND","ISP","","Tray","Active","1","0.45000","$0.45","4901","15 Weeks","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF1206FT10K0","Stackpole Electronics Inc","RMCF1206FT10K0CT-ND","R1, R7","","Cut Tape (CT)","Active","2","0.10000","$0.20","579942","17 Weeks","RES 10K OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-8GEYJ332V","Panasonic Electronic Components","P3.3KECT-ND","R2 - R6","","Cut Tape (CT)","Active","5","0.10000","$0.50","775625","13 Weeks","RES SMD 3.3K OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-103ELF","Bourns Inc.","CR0805-JW-103ELFCT-ND","R8 - R111","","Cut Tape (CT)","Active","120","0.00710","$0.85","202321","14 Weeks","RES SMD 10K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","","","Tube","Active","1","2.08000","$2.08","307","10 Weeks","IC MCU 8BIT 32KB FLASH 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
