"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"PRT-12895","SparkFun Electronics","1568-1488-ND","LIPO","","Box","Active","1","5.95000","$5.95","408","2 Weeks","BATTERY LITHIUM 3.7V 2.6AH","RoHS non-compliant","Lead free","Not Available"
"54","Keystone Electronics","36-54-ND","BT1","","Bulk","Active","2","0.57000","$1.14","66272","6 Weeks","BATTERY CONTACT CLP 18650 PC PIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"K104K15X7RF53K2","Vishay BC Components","BC5138-ND","C1, C4","","Bulk","Active","2","0.24000","$0.48","26131","10 Weeks","CAP CER 0.1UF 50V X7R RADIAL","ROHS3 Compliant","Lead free","Not Available"
"151031YS05900","Würth Elektronik","732-5009-ND","CHARGE","","Bulk","Active","1","0.17000","$0.17","450","11 Weeks","LED YELLOW DIFF 3MM ROUND T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"151031VS06000","Würth Elektronik","732-5008-ND","DONE","","Bulk","Active","1","0.16000","$0.16","21618","11 Weeks","LED GREEN DIFFUSED 3MM ROUND T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATTINY167-SU","Microchip Technology","ATTINY167-SU-ND","IC1","","Tube","Active","1","1.49000","$1.49","2373","12 Weeks","IC MCU 8BIT 16KB FLASH 20SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"61200621621","Würth Elektronik","732-5394-ND","ISP","","Tray","Active","1","0.45000","$0.45","4901","15 Weeks","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"PREC010DAAN-RC","Sullins Connector Solutions","S2012EC-10-ND","JP1","","Bag","Active","1","0.44000","$0.44","2135","Not Available","CONN HEADER VERT 20POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"WT-1212","Soberton Inc.","433-1285-ND","LS1","","Tray","Active","1","0.52000","$0.52","514","8 Weeks","BUZZER, 85DB, 12MM DIA. X 9MM, 2","ROHS3 Compliant","Lead free","Not Available"
"PREC008SAAN-RC","Sullins Connector Solutions","S1012EC-08-ND","NFC","","Bag","Active","1","0.19000","$0.19","8885","Not Available","CONN HEADER VERT 8POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
