"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SB140TA","SMC Diode Solutions","1655-1514-1-ND","D1 - D12","","Cut Tape (CT)","Active","12","0.18300","$2.19","8272","Not Available","DIODE SCHOTTKY 40V 1A DO41","ROHS3 Compliant","Lead free","REACH Unaffected"
"G5V-1-T90 DC5","Omron Electronics Inc-EMC Div","Z6370-ND","K1 - K12","","Tube","Active","12","1.76500","$21.18","2086","10 Weeks","RELAY GEN PURPOSE SPDT 1A 5VDC","RoHS Compliant","Lead free","Not Available"
"CC0805JRNPO9BN160","Yageo","311-4228-1-ND","C2, C3","","Cut Tape (CT)","Active","2","0.15000","$0.30","362","33 Weeks","CAP CER 16PF 50V NPO 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","","","Tube","Active","1","2.08000","$2.08","307","10 Weeks","IC MCU 8BIT 32KB FLASH 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"9B-16.000MAAE-B","TXC CORPORATION","887-2014-ND","Q1","","Bulk","Active","1","0.33000","$0.33","1263","13 Weeks","CRYSTAL 16.0000MHZ 12PF T/H","RoHS Compliant","Lead free","Not Available"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","C1","","Cut Tape (CT)","Active","1","0.14000","$0.14","726158","22 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"ED281DT","On Shore Technology Inc.","ED3050-5-ND","","","Tube","Active","2","0.33000","$0.66","7559","8 Weeks","CONN IC DIP SOCKET 28POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"L293D","STMicroelectronics","497-2936-5-ND","","","Tube","Active","1","3.91000","$3.91","4160","10 Weeks","IC MTRDRV BIPLR 4.5-36V 16PWRDIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"NCP7805TG","ON Semiconductor","NCP7805TGOS-ND","","","Tube","Active","1","0.57000","$0.57","964","4 Weeks","IC REG LINEAR 5V 1A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"3296","Adafruit Industries LLC","1528-1788-ND","","","Bulk","Active","1","7.50000","$7.50","111","7 Weeks","DS1307 REAL TIME CLOCK BOARD","ROHS3 Compliant","Lead free","Not Available"
"CR1220","Panasonic - BSG","P033-ND","","","Bulk","Active","2","1.00000","$2.00","15586","22 Weeks","BATTERY LITHIUM 3V COIN 12.5MM","Not applicable","Not applicable","REACH Affected"
