"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATTINY84A-SSF","Microchip Technology","ATTINY84A-SSF-ND","","","Tube","Active","75","0.71000","$53.25","1014","4 Weeks","IC MCU 8BIT 8KB FLASH 14SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP23S17T-E/SO","Microchip Technology","MCP23S17T-E/SOCT-ND","","","Cut Tape (CT)","Active","75","1.05000","$78.75","1652","12 Weeks","IC I/O EXPANDER SPI 16B 28SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF1206JT47R0","Stackpole Electronics Inc","RMCF1206JT47R0CT-ND","","","Cut Tape (CT)","Active","1000","0.00496","$4.96","139050","17 Weeks","RES 47 OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","","","Cut Tape (CT)","Active","100","0.04530","$4.53","726158","22 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"BK-53","MPD (Memory Protection Devices)","BK-53-ND","","","Bulk","Active","300","0.52390","$157.17","5220","14 Weeks","BATTERY CONTACT CLIP AA SMD TAB","RoHS Compliant","Lead free","REACH Unaffected"
"5990230007F","Dialight","350-4362-1-ND","","","Cut Tape (CT)","Active","650","0.11448","$74.41","6402","10 Weeks","LED ORANGE 1206 SMD","ROHS3 Compliant","Lead free","Not Available"
"PREC003DAAN-RC","Sullins Connector Solutions","S2012EC-03-ND","","","Bag","Active","75","0.10720","$8.04","1959","Not Available","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF1206ZT0R00","Stackpole Electronics Inc","RMCF1206ZT0R00CT-ND","","","Cut Tape (CT)","Active","300","0.00924","$2.77","762247","17 Weeks","RES 0 OHM JUMPER 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"150120BS75000","Würth Elektronik","732-4989-1-ND","","","Cut Tape (CT)","Active","280","0.17100","$47.88","21137","13 Weeks","LED BLUE CLEAR 1206 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"EG1218","E-Switch","EG1903-ND","","","Bulk","Active","70","0.50620","$35.43","46529","11 Weeks","SWITCH SLIDE SPDT 200MA 30V","ROHS3 Compliant","Lead free","REACH Unaffected"
